Date,Year,Month,Month_Number,Monthly_Return_Pct_Displayed,Monthly_Return_Decimal,NAV_Reconstructed_From_Rounded_Returns,Drawdown_From_Rounded_NAV
2010-04-30,2010,Apr,4,-0.0,-0.000000,1000.000000,0.000000
2010-05-31,2010,Mag,5,1.3,0.013000,1013.000000,0.000000
2010-06-30,2010,Giu,6,1.1,0.011000,1024.143000,0.000000
2010-07-31,2010,Lug,7,-0.5,-0.005000,1019.022285,-0.005000
2010-08-31,2010,Ago,8,3.2,0.032000,1051.630998,0.000000
2010-09-30,2010,Set,9,-0.7,-0.007000,1044.269581,-0.007000
2010-10-31,2010,Ott,10,0.1,0.001000,1045.313851,-0.006007
2010-11-30,2010,Nov,11,-1.3,-0.013000,1031.724771,-0.018929
2010-12-31,2010,Dic,12,0.0,0.000000,1031.724771,-0.018929
2011-01-31,2011,Gen,1,-1.8,-0.018000,1013.153725,-0.036588
2011-02-28,2011,Feb,2,1.5,0.015000,1028.351031,-0.022137
2011-03-31,2011,Mar,3,-0.1,-0.001000,1027.322680,-0.023115
2011-04-30,2011,Apr,4,3.5,0.035000,1063.278973,0.000000
2011-05-31,2011,Mag,5,-0.9,-0.009000,1053.709463,-0.009000
2011-06-30,2011,Giu,6,-0.7,-0.007000,1046.333496,-0.015937
2011-07-31,2011,Lug,7,2.8,0.028000,1075.630834,0.000000
2011-08-31,2011,Ago,8,-0.3,-0.003000,1072.403942,-0.003000
2011-09-30,2011,Set,9,-0.8,-0.008000,1063.824710,-0.010976
2011-10-31,2011,Ott,10,1.6,0.016000,1080.845906,0.000000
2011-11-30,2011,Nov,11,-0.1,-0.001000,1079.765060,-0.001000
2011-12-31,2011,Dic,12,0.6,0.006000,1086.243650,0.000000
2012-01-31,2012,Gen,1,2.3,0.023000,1111.227254,0.000000
2012-02-29,2012,Feb,2,0.7,0.007000,1119.005845,0.000000
2012-03-31,2012,Mar,3,-0.2,-0.002000,1116.767833,-0.002000
2012-04-30,2012,Apr,4,1.0,0.010000,1127.935511,0.000000
2012-05-31,2012,Mag,5,0.3,0.003000,1131.319318,0.000000
2012-06-30,2012,Giu,6,0.4,0.004000,1135.844595,0.000000
2012-07-31,2012,Lug,7,2.2,0.022000,1160.833176,0.000000
2012-08-31,2012,Ago,8,0.6,0.006000,1167.798175,0.000000
2012-09-30,2012,Set,9,0.5,0.005000,1173.637166,0.000000
2012-10-31,2012,Ott,10,-0.4,-0.004000,1168.942618,-0.004000
2012-11-30,2012,Nov,11,1.0,0.010000,1180.632044,0.000000
2012-12-31,2012,Dic,12,-0.3,-0.003000,1177.090148,-0.003000
2013-01-31,2013,Gen,1,-0.4,-0.004000,1172.381787,-0.006988
2013-02-28,2013,Feb,2,1.1,0.011000,1185.277987,0.000000
2013-03-31,2013,Mar,3,1.1,0.011000,1198.316045,0.000000
2013-04-30,2013,Apr,4,2.0,0.020000,1222.282365,0.000000
2013-05-31,2013,Mag,5,-1.7,-0.017000,1201.503565,-0.017000
2013-06-30,2013,Giu,6,-2.2,-0.022000,1175.070487,-0.038626
2013-07-31,2013,Lug,7,0.6,0.006000,1182.120910,-0.032858
2013-08-31,2013,Ago,8,-0.5,-0.005000,1176.210305,-0.037693
2013-09-30,2013,Set,9,2.0,0.020000,1199.734511,-0.018447
2013-10-31,2013,Ott,10,1.9,0.019000,1222.529467,0.000000
2013-11-30,2013,Nov,11,1.6,0.016000,1242.089939,0.000000
2013-12-31,2013,Dic,12,-0.1,-0.001000,1240.847849,-0.001000
2014-01-31,2014,Gen,1,0.1,0.001000,1242.088696,-0.000001
2014-02-28,2014,Feb,2,1.9,0.019000,1265.688382,0.000000
2014-03-31,2014,Mar,3,0.0,0.000000,1265.688382,0.000000
2014-04-30,2014,Apr,4,0.3,0.003000,1269.485447,0.000000
2014-05-31,2014,Mag,5,1.7,0.017000,1291.066699,0.000000
2014-06-30,2014,Giu,6,1.0,0.010000,1303.977366,0.000000
2014-07-31,2014,Lug,7,0.5,0.005000,1310.497253,0.000000
2014-08-31,2014,Ago,8,2.2,0.022000,1339.328193,0.000000
2014-09-30,2014,Set,9,-0.3,-0.003000,1335.310208,-0.003000
2014-10-31,2014,Ott,10,0.4,0.004000,1340.651449,0.000000
2014-11-30,2014,Nov,11,2.1,0.021000,1368.805129,0.000000
2014-12-31,2014,Dic,12,0.3,0.003000,1372.911545,0.000000
2015-01-31,2015,Gen,1,2.4,0.024000,1405.861422,0.000000
2015-02-28,2015,Feb,2,1.4,0.014000,1425.543482,0.000000
2015-03-31,2015,Mar,3,1.2,0.012000,1442.650004,0.000000
2015-04-30,2015,Apr,4,-1.5,-0.015000,1421.010254,-0.015000
2015-05-31,2015,Mag,5,-0.8,-0.008000,1409.642172,-0.022880
2015-06-30,2015,Giu,6,-3.1,-0.031000,1365.943264,-0.053171
2015-07-31,2015,Lug,7,1.3,0.013000,1383.700527,-0.040862
2015-08-31,2015,Ago,8,-3.6,-0.036000,1333.887308,-0.075391
2015-09-30,2015,Set,9,-0.8,-0.008000,1323.216209,-0.082788
2015-10-31,2015,Ott,10,1.9,0.019000,1348.357317,-0.065361
2015-11-30,2015,Nov,11,0.4,0.004000,1353.750746,-0.061622
2015-12-31,2015,Dic,12,-1.2,-0.012000,1337.505738,-0.072883
2016-01-31,2016,Gen,1,0.6,0.006000,1345.530772,-0.067320
2016-02-29,2016,Feb,2,0.6,0.006000,1353.603957,-0.061724
2016-03-31,2016,Mar,3,0.2,0.002000,1356.311164,-0.059847
2016-04-30,2016,Apr,4,-0.2,-0.002000,1353.598542,-0.061728
2016-05-31,2016,Mag,5,-0.2,-0.002000,1350.891345,-0.063604
2016-06-30,2016,Giu,6,2.3,0.023000,1381.961846,-0.042067
2016-07-31,2016,Lug,7,0.9,0.009000,1394.399503,-0.033446
2016-08-31,2016,Ago,8,-0.4,-0.004000,1388.821905,-0.037312
2016-09-30,2016,Set,9,0.3,0.003000,1392.988370,-0.034424
2016-10-31,2016,Ott,10,-1.1,-0.011000,1377.665498,-0.045045
2016-11-30,2016,Nov,11,-3.0,-0.030000,1336.335533,-0.073694
2016-12-31,2016,Dic,12,0.3,0.003000,1340.344540,-0.070915
2017-01-31,2017,Gen,1,1.2,0.012000,1356.428674,-0.059766
2017-02-28,2017,Feb,2,1.8,0.018000,1380.844391,-0.042842
2017-03-31,2017,Mar,3,-0.4,-0.004000,1375.321013,-0.046670
2017-04-30,2017,Apr,4,0.4,0.004000,1380.822297,-0.042857
2017-05-31,2017,Mag,5,0.5,0.005000,1387.726409,-0.038071
2017-06-30,2017,Giu,6,-1.3,-0.013000,1369.685965,-0.050576
2017-07-31,2017,Lug,7,0.6,0.006000,1377.904081,-0.044880
2017-08-31,2017,Ago,8,1.5,0.015000,1398.572642,-0.030553
2017-09-30,2017,Set,9,-0.9,-0.009000,1385.985488,-0.039278
2017-10-31,2017,Ott,10,1.8,0.018000,1410.933227,-0.021985
2017-11-30,2017,Nov,11,0.7,0.007000,1420.809760,-0.015139
2017-12-31,2017,Dic,12,0.4,0.004000,1426.492999,-0.011200
2018-01-31,2018,Gen,1,1.3,0.013000,1445.037408,0.000000
2018-02-28,2018,Feb,2,-1.1,-0.011000,1429.141996,-0.011000
2018-03-31,2018,Mar,3,-1.2,-0.012000,1411.992292,-0.022868
2018-04-30,2018,Apr,4,1.1,0.011000,1427.524208,-0.012120
2018-05-31,2018,Mag,5,1.0,0.010000,1441.799450,-0.002241
2018-06-30,2018,Giu,6,0.4,0.004000,1447.566647,0.000000
2018-07-31,2018,Lug,7,0.1,0.001000,1449.014214,0.000000
2018-08-31,2018,Ago,8,0.8,0.008000,1460.606328,0.000000
2018-09-30,2018,Set,9,-0.6,-0.006000,1451.842690,-0.006000
2018-10-31,2018,Ott,10,-2.2,-0.022000,1419.902151,-0.027868
2018-11-30,2018,Nov,11,0.1,0.001000,1421.322053,-0.026896
2018-12-31,2018,Dic,12,-2.4,-0.024000,1387.210324,-0.050250
2019-01-31,2019,Gen,1,2.8,0.028000,1426.052213,-0.023657
2019-02-28,2019,Feb,2,1.0,0.010000,1440.312735,-0.013894
2019-03-31,2019,Mar,3,2.6,0.026000,1477.760866,0.000000
2019-04-30,2019,Apr,4,0.9,0.009000,1491.060714,0.000000
2019-05-31,2019,Mag,5,-2.7,-0.027000,1450.802074,-0.027000
2019-06-30,2019,Giu,6,2.9,0.029000,1492.875335,0.000000
2019-07-31,2019,Lug,7,-0.1,-0.001000,1491.382459,-0.001000
2019-08-31,2019,Ago,8,-0.1,-0.001000,1489.891077,-0.001999
2019-09-30,2019,Set,9,-0.1,-0.001000,1488.401186,-0.002997
2019-10-31,2019,Ott,10,-0.2,-0.002000,1485.424383,-0.004991
2019-11-30,2019,Nov,11,0.3,0.003000,1489.880656,-0.002006
2019-12-31,2019,Dic,12,0.7,0.007000,1500.309821,0.000000
2020-01-31,2020,Gen,1,0.7,0.007000,1510.811990,0.000000
2020-02-29,2020,Feb,2,-1.0,-0.010000,1495.703870,-0.010000
2020-03-31,2020,Mar,3,-9.5,-0.095000,1353.612002,-0.104050
2020-04-30,2020,Apr,4,3.3,0.033000,1398.281198,-0.074484
2020-05-31,2020,Mag,5,-0.7,-0.007000,1388.493230,-0.080962
2020-06-30,2020,Giu,6,-0.2,-0.002000,1385.716243,-0.082800
2020-07-31,2020,Lug,7,0.3,0.003000,1389.873392,-0.080049
2020-08-31,2020,Ago,8,3.1,0.031000,1432.959467,-0.051530
2020-09-30,2020,Set,9,-1.7,-0.017000,1408.599156,-0.067654
2020-10-31,2020,Ott,10,1.0,0.010000,1422.685148,-0.058331
2020-11-30,2020,Nov,11,-0.6,-0.006000,1414.149037,-0.063981
2020-12-31,2020,Dic,12,5.8,0.058000,1496.169681,-0.009692
2021-01-31,2021,Gen,1,2.5,0.025000,1533.573923,0.000000
2021-02-28,2021,Feb,2,-0.1,-0.001000,1532.040349,-0.001000
2021-03-31,2021,Mar,3,-2.1,-0.021000,1499.867502,-0.021979
2021-04-30,2021,Apr,4,2.0,0.020000,1529.864852,-0.002419
2021-05-31,2021,Mag,5,-1.1,-0.011000,1513.036339,-0.013392
2021-06-30,2021,Giu,6,3.8,0.038000,1570.531720,0.000000
2021-07-31,2021,Lug,7,1.4,0.014000,1592.519164,0.000000
2021-08-31,2021,Ago,8,2.7,0.027000,1635.517181,0.000000
2021-09-30,2021,Set,9,-2.8,-0.028000,1589.722700,-0.028000
2021-10-31,2021,Ott,10,5.1,0.051000,1670.798558,0.000000
2021-11-30,2021,Nov,11,1.9,0.019000,1702.543730,0.000000
2021-12-31,2021,Dic,12,-0.1,-0.001000,1700.841187,-0.001000
2022-01-31,2022,Gen,1,-2.0,-0.020000,1666.824363,-0.020980
2022-02-28,2022,Feb,2,-0.3,-0.003000,1661.823890,-0.023917
2022-03-31,2022,Mar,3,0.9,0.009000,1676.780305,-0.015132
2022-04-30,2022,Apr,4,-0.9,-0.009000,1661.689282,-0.023996
2022-05-31,2022,Mag,5,-4.8,-0.048000,1581.928196,-0.070844
2022-06-30,2022,Giu,6,-2.7,-0.027000,1539.216135,-0.095932
2022-07-31,2022,Lug,7,3.8,0.038000,1597.706348,-0.061577
2022-08-31,2022,Ago,8,-1.8,-0.018000,1568.947634,-0.078469
2022-09-30,2022,Set,9,-4.8,-0.048000,1493.638148,-0.122702
2022-10-31,2022,Ott,10,0.8,0.008000,1505.587253,-0.115684
2022-11-30,2022,Nov,11,0.0,0.000000,1505.587253,-0.115684
2022-12-31,2022,Dic,12,-0.4,-0.004000,1499.564904,-0.119221
2023-01-31,2023,Gen,1,1.2,0.012000,1517.559683,-0.108652
2023-02-28,2023,Feb,2,-1.4,-0.014000,1496.313847,-0.121130
2023-03-31,2023,Mar,3,2.7,0.027000,1536.714321,-0.097401
2023-04-30,2023,Apr,4,0.1,0.001000,1538.251035,-0.096498
2023-05-31,2023,Mag,5,2.4,0.024000,1575.169060,-0.074814
2023-06-30,2023,Giu,6,1.1,0.011000,1592.495920,-0.064637
2023-07-31,2023,Lug,7,2.4,0.024000,1630.715822,-0.042189
2023-08-31,2023,Ago,8,-0.3,-0.003000,1625.823674,-0.045062
2023-09-30,2023,Set,9,-1.7,-0.017000,1598.184672,-0.061296
2023-10-31,2023,Ott,10,-0.3,-0.003000,1593.390118,-0.064112
2023-11-30,2023,Nov,11,3.8,0.038000,1653.938942,-0.028548
2023-12-31,2023,Dic,12,1.3,0.013000,1675.440149,-0.015919
2024-01-31,2024,Gen,1,2.5,0.025000,1717.326152,0.000000
2024-02-29,2024,Feb,2,3.4,0.034000,1775.715242,0.000000
2024-03-31,2024,Mar,3,1.7,0.017000,1805.902401,0.000000
2024-04-30,2024,Apr,4,-0.3,-0.003000,1800.484693,-0.003000
2024-05-31,2024,Mag,5,1.8,0.018000,1832.893418,0.000000
2024-06-30,2024,Giu,6,1.8,0.018000,1865.885499,0.000000
2024-07-31,2024,Lug,7,-1.1,-0.011000,1845.360759,-0.011000
2024-08-31,2024,Ago,8,0.3,0.003000,1850.896841,-0.008033
2024-09-30,2024,Set,9,0.3,0.003000,1856.449532,-0.005057
2024-10-31,2024,Ott,10,0.2,0.002000,1860.162431,-0.003067
2024-11-30,2024,Nov,11,0.2,0.002000,1863.882756,-0.001073
2024-12-31,2024,Dic,12,0.2,0.002000,1867.610521,0.000000
2025-01-31,2025,Gen,1,1.4,0.014000,1893.757068,0.000000
2025-02-28,2025,Feb,2,-0.9,-0.009000,1876.713255,-0.009000
2025-03-31,2025,Mar,3,-1.8,-0.018000,1842.932416,-0.026838
2025-04-30,2025,Apr,4,0.1,0.001000,1844.775349,-0.025865
2025-05-31,2025,Mag,5,2.6,0.026000,1892.739508,-0.000537
2025-06-30,2025,Giu,6,1.2,0.012000,1915.452382,0.000000
2025-07-31,2025,Lug,7,1.2,0.012000,1938.437810,0.000000
2025-08-31,2025,Ago,8,-0.3,-0.003000,1932.622497,-0.003000
2025-09-30,2025,Set,9,1.4,0.014000,1959.679212,0.000000
2025-10-31,2025,Ott,10,2.0,0.020000,1998.872796,0.000000
2025-11-30,2025,Nov,11,-1.3,-0.013000,1972.887450,-0.013000
2025-12-31,2025,Dic,12,0.1,0.001000,1974.860337,-0.012013
2026-01-31,2026,Gen,1,4.5,0.045000,2063.729052,0.000000
2026-02-28,2026,Feb,2,-0.3,-0.003000,2057.537865,-0.003000
2026-03-31,2026,Mar,3,-3.1,-0.031000,1993.754191,-0.033907
2026-04-30,2026,Apr,4,3.5,0.035000,2063.535588,-0.000094
2026-05-31,2026,Mag,5,2.0,0.020000,2104.806300,0.000000
2026-06-30,2026,Giu,6,2.1,0.021000,2149.007232,0.000000
